,StateCode,State,nb,nb_idx,stock_self,stock_nb,stock_sns
0,AK,Alaska,['WA'],[46],100,[0],0
1,AL,Alabama,"['FL', 'GA', 'MS', 'TN']","[8, 9, 24, 41]",1240,"[0, 0, 0, 0]",632
2,AR,Arkansas,"['LA', 'MO', 'MS', 'OK', 'TN', 'TX']","[17, 23, 24, 35, 41, 42]",249,"[0, 0, 0, 0, 0, 0]",0
3,AZ,Arizona,"['CA', 'CO', 'NM', 'NV', 'UT']","[4, 5, 31, 32, 43]",750,"[0, 0, 0, 0, 0]",0
4,CA,California,"['AZ', 'HI', 'NV', 'OR']","[3, 10, 32, 36]",5518,"[0, 0, 0, 0]",0
5,CO,Colorado,"['AZ', 'KS', 'NE', 'NM', 'OK', 'UT', 'WY']","[3, 15, 28, 31, 35, 43, 49]",300,"[0, 0, 0, 0, 0, 0, 0]",0
6,CT,Connecticut,"['MA', 'NY', 'RI']","[18, 33, 38]",721,"[0, 0, 0]",373
7,DE,Delaware,"['MD', 'NJ', 'PA']","[19, 30, 37]",124,"[0, 0, 0]",0
8,FL,Florida,"['AL', 'GA']","[1, 9]",1936,"[0, 0]",0
9,GA,Georgia,"['AL', 'FL', 'NC', 'SC', 'TN']","[1, 8, 26, 39, 41]",503,"[64, 64, 64, 40, 18]",0
10,HI,Hawaii,['CA'],[4],267,[0],0
11,IA,Iowa,"['IL', 'MN', 'MO', 'NE', 'SD', 'WI']","[13, 22, 23, 28, 40, 47]",120,"[0, 11, 22, 11, 11, 11]",0
12,ID,Idaho,"['MT', 'NV', 'OR', 'UT', 'WA', 'WY']","[25, 32, 36, 43, 46, 49]",202,"[0, 0, 0, 0, 0, 0]",0
13,IL,Illinois,"['IA', 'IN', 'KY', 'MO', 'WI']","[11, 14, 16, 23, 47]",798,"[20, 92, 130, 179, 62]",0
14,IN,Indiana,"['IL', 'KY', 'MI', 'OH']","[13, 16, 21, 34]",872,"[0, 80, 79, 149]",0
