,StateCode,State,nb,nb_idx,stock_self,stock_nb,stock_sns
15,KS,Kansas,"['CO', 'MO', 'NE', 'OK']","[5, 23, 28, 35]",84,"[8, 3, 8, 8]",0
16,KY,Kentucky,"['IL', 'IN', 'MO', 'OH', 'TN', 'VA', 'WV']","[13, 14, 23, 34, 41, 44, 48]",620,"[0, 0, 0, 0, 0, 0, 0]",0
17,LA,Louisiana,"['AR', 'MS', 'TX']","[2, 24, 42]",752,"[0, 0, 0]",252
18,MA,Massachusetts,"['CT', 'NH', 'NY', 'RI', 'VT']","[6, 29, 33, 38, 45]",1098,"[0, 289, 0, 0, 86]",409
19,MD,Maryland,"['DC', 'DE', 'PA', 'VA', 'WV']","[50, 7, 37, 44, 48]",315,"[17, 0, 0, 543, 98]",0
20,ME,Maine,['NH'],[29],127,[0],3
21,MI,Michigan,"['IN', 'OH', 'WI']","[14, 34, 47]",1877,"[0, 0, 0]",1027
22,MN,Minnesota,"['IA', 'ND', 'SD', 'WI']","[11, 27, 40, 47]",690,"[0, 0, 0, 0]",0
23,MO,Missouri,"['AR', 'IA', 'IL', 'KS', 'KY', 'NE', 'OK', 'TN']","[2, 11, 13, 15, 16, 28, 35, 41]",861,"[0, 0, 0, 0, 0, 0, 0, 0]",0
24,MS,Mississippi,"['AL', 'AR', 'LA', 'TN']","[1, 2, 17, 41]",282,"[0, 0, 0, 0]",82
25,MT,Montana,"['ID', 'ND', 'SD', 'WY']","[12, 27, 40, 49]",164,"[0, 0, 0, 0]",0
26,NC,North Carolina,"['GA', 'SC', 'TN', 'VA']","[9, 39, 41, 44]",995,"[0, 0, 0, 0]",0
27,ND,North Dakota,"['MN', 'MT', 'SD']","[22, 25, 40]",204,"[0, 0, 0]",0
28,NE,Nebraska,"['CO', 'IA', 'KS', 'MO', 'SD', 'WY']","[5, 11, 15, 23, 40, 49]",289,"[0, 0, 0, 0, 0, 0]",0
29,NH,New Hampshire,"['MA', 'ME', 'VT']","[18, 20, 45]",210,"[0, 0, 0]",0
30,NJ,New Jersey,"['DE', 'NY', 'PA']","[7, 33, 37]",1759,"[98, 137, 133]",1145
31,NM,New Mexico,"['AZ', 'CO', 'OK', 'TX', 'UT']","[3, 5, 35, 42, 43]",315,"[0, 0, 0, 0, 0]",0
32,NV,Nevada,"['AZ', 'CA', 'ID', 'OR', 'UT']","[3, 4, 12, 36, 43]",419,"[0, 0, 0, 0, 0]",0
33,NY,New York,"['CT', 'MA', 'NJ', 'PA', 'VT']","[6, 18, 30, 37, 45]",2255,"[0, 0, 0, 435, 116]",1808
34,OH,Ohio,"['IN', 'KY', 'MI', 'PA', 'WV']","[14, 16, 21, 37, 48]",726,"[0, 0, 0, 0, 0]",0
