,init,0325,0401,0408,0415,0422,0429,0506,0513,0520,0527,1119,1126,1203,1210
Alaska,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Alabama,672,672,1937,1233,1074,1122,1187,1240,1290,1296,1304,1304,1291,1301,1304
Arkansas,250,234,156,250,242,215,249,249,238,241,249,249,249,239,249
Arizona,750,750,600,750,750,750,725,750,750,750,749,750,729,650,750
California,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518
Colorado,300,300,760,300,260,297,424,300,300,300,307,299,383,476,299
Connecticut,500,400,462,759,1615,1353,1502,721,873,873,873,873,873,873,873
Delaware,200,160,128,76,58,92,190,124,131,155,172,202,202,202,202
Florida,2000,2000,1593,1991,1735,1832,1883,1936,2000,2000,2000,2000,1987,2000,2000
Georgia,503,503,748,799,1191,965,1030,753,503,503,503,503,564,500,503
Hawaii,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267
Iowa,140,140,136,140,205,152,148,186,139,206,231,212,296,264,140
Idaho,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
Illinois,798,798,1343,1076,798,1015,797,1281,1334,1572,1282,798,1042,1036,853
Indiana,964,771,463,902,964,899,964,1180,707,661,735,964,850,872,944
Kansas,84,84,100,96,234,111,123,84,84,84,83,133,174,230,255
Kentucky,650,650,390,582,650,618,650,440,561,516,566,650,567,582,630
Louisiana,500,764,1260,500,499,573,500,500,486,492,500,500,500,500,500
Massachusetts,700,670,1022,1142,2233,1535,2063,1312,1297,1297,1297,1297,1297,1297,1297
Maryland,520,520,422,641,983,980,666,685,836,793,590,520,520,520,520
Maine,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
Michigan,850,2027,2397,1499,1499,1499,1499,1420,1499,1499,1499,1435,1287,1440,1499
Minnesota,692,692,691,692,665,690,691,681,692,678,672,629,693,639,693
Missouri,916,916,550,770,837,816,895,715,827,677,808,878,678,615,769
Mississippi,200,184,272,200,232,261,200,200,253,232,200,200,200,197,200
Montana,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
North Carolina,1064,1064,638,959,909,974,947,1000,1064,1064,1064,1064,1051,1061,1064
North Dakota,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204
Nebraska,300,300,207,296,244,293,260,290,301,287,280,276,301,270,263
New Hampshire,500,378,355,284,227,182,146,495,500,500,500,500,500,500,500
New Jersey,614,1427,1336,2152,1857,2322,1917,2531,1914,1796,1902,1917,1917,1917,1917
New Mexico,315,315,252,315,315,315,294,315,315,315,314,315,294,271,315
Nevada,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419
New York,1100,2884,4181,4431,3008,3126,2198,2489,2817,3086,3180,3195,3195,3195,3195
Ohio,1364,1091,849,1170,936,749,1364,942,1268,1255,1349,1364,1364,1364,1364
Oklahoma,400,400,325,397,399,390,360,401,401,401,400,387,387,508,400
Oregon,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
Pennsylvania,1000,800,821,1002,1108,1519,1063,1879,1690,1520,1168,1097,1097,1097,1097
Rhode Island,194,163,97,227,199,426,396,357,362,362,362,362,362,362,362
South Carolina,632,632,506,568,596,603,537,592,632,632,632,632,619,632,632
South Dakota,262,262,239,262,256,260,261,251,262,248,242,244,215,219,262
Tennessee,475,475,1206,428,450,433,394,457,461,467,475,475,466,501,475
Texas,4370,4138,3543,4370,4370,4319,4370,4370,4370,4370,4370,4370,4370,4320,4370
Utah,360,360,288,360,360,360,345,360,360,360,359,360,339,314,360
Virginia,1266,1266,1013,1063,850,745,1232,1091,1091,1159,1248,1266,1266,1263,1266
Vermont,104,222,101,61,37,23,112,163,190,190,190,190,190,190,190
Washington,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
Wisconsin,310,248,200,303,305,276,309,237,210,188,217,414,522,408,310
West Virginia,350,350,280,168,100,95,316,233,224,211,322,352,352,352,352
Wyoming,90,90,72,90,90,90,87,90,90,90,89,90,76,87,90
District of Columbia,220,220,220,176,141,204,186,180,160,156,202,220,220,220,220
SNS,6000,3159,1321,0,0,0,0,0,0,0,0,0,0,0,0
